a	(-AH0_)
accost	(-AH0_)(K-AO1_S T)
accosted	(-AH0_)(K-AA1_)(S T-AH0_D)
accosting	(-AH0_)(K-AA1_)(S T-IH0_NG)
account	(-AH0_)(K-AW1_N T)
accountability	(-AH0_)(K-AW1_N)(T-AH0_)(B-IH0_)(L-IH0_)(T-IY0_)
accountable	(-AH0_)(K-AW1_N)(T-AH0_)(B-AH0_L)
accountancy	(-AH0_)(K-AW1_N)(T-AH0_N)(S-IY0_)
accountant	(-AH0_)(K-AW1_N)(T-AH0_N T)
accountants	(-AH0_)(K-AW1_N)(T-AH0_N T S)
accounted	(-AH0_)(K-AW1_N)(T-AH0_D)
accountemp	(-AH0_)(K-AW1_N)(T-EH2_M P)
accountemps	(-AH0_)(K-AW1_N)(T-EH2_M P S)
accounting	(-AH0_)(K-AW1_N)(T-IH0_NG)
accounts	(-AH0_)(K-AW1_N T S)
accouterment	(-AH0_)(K-UW1_)(T-ER0_)(M-AH0_N T)
accouterments	(-AH0_)(K-UW1_)(T-ER0_)(M-AH0_N T S)
accredit	(-AH0_)(K R-EH2_)(D-AH0_T)
accreditation	(-AH0_)(K R-EH2_)(D-AH0_)(T-EY1_)(SH-AH0_N)
accreditations	(-AH0_)(K R-EH2_)(D-AH0_)(D-EY1_)(SH-AH0_N Z)
accredited	(-AH0_)(K R-EH1_)(D-IH0_)(T-IH0_D)
accrediting	(-AH0_)(K R-EH1_)(D-AH0_)(T-IH0_NG)
accretion	(-AH0_)(K R-IY1_)(SH-AH0_N)
accrual	(-AH0_)(K R-UW1_)(-AH0_L)
accruals	(-AH0_)(K R-UW1_)(-AH0_L Z)
accrue	(-AH0_)(K R-UW1_)
accrued	(-AH0_)(K R-UW1_D)
accrues	(-AH0_)(K R-UW1_Z)
accruing	(-AH0_)(K R-UW1_)(-IH0_NG)
accumulate	(-AH0_)(K Y-UW1_)(M Y-AH0_)(L-EY2_T)
accumulated	(-AH0_)(K Y-UW1_)(M Y-AH0_)(L-EY2_)(T-IH0_D)
accumulates	(-AH0_)(K Y-UW1_)(M Y-AH0_)(L-EY2_T S)
accumulating	(-AH0_)(K Y-UW1_)(M Y-AH0_)(L-EY2_)(T-IH0_NG)
accumulation	(-AH0_)(K Y-UW2_)(M Y-AH0_)(L-EY1_)(SH-AH0_N)
accumulations	(-AH0_)(K Y-UW2_)(M Y-AH0_)(L-EY1_)(SH-AH0_N Z)
accumulative	(-AH0_)(K Y-UW1_)(M Y-AH0_)(L-EY2_)(T-IH0_V)
accumulatively	(-AH0_)(K Y-UW1_)(M Y-AH0_)(L-EY2_)(T-IH0_V)(L-IY0_)
accumulator	(-AH0_)(K Y-UW1_)(M Y-AH0_)(L-EY2_)(T-ER0_)
accumulators	(-AH0_)(K Y-UW1_)(M Y-AH0_)(L-EY2_)(T-ER0_Z)
accuracies	(-AE1_)(K Y-ER0_)(-AH0_)(S-IY0_Z)
accuracy	(-AE1_)(K Y-ER0_)(-AH0_)(S-IY0_)
accurate	(-AE1_)(K Y-ER0_)(-AH0_T)
accurately	(-AE1_)(K Y-ER0_)(-AH0_T)(L-IY0_)
accuray	(-AE1_)(K Y-ER0_)(-EY2_)
accuride	(-AE1_)(K Y-ER0_)(-AY2_D)
accurso	(-AA0_)(K-UH1_R)(S-OW0_)
accusation	(-AE2_)(K Y-AH0_)(Z-EY1_)(SH-AH0_N)
accusations	(-AE2_)(K Y-AH0_)(Z-EY1_)(SH-AH0_N Z)
accusative	(-AH0_)(K Y-UW1_)(Z-AH0_)(T-IH0_V)
accusatory	(-AH0_)(K Y-UW1_)(Z-AH0_)(T-AO2_)(R-IY0_)
accuse	(-AH0_)(K Y-UW1_Z)
accused	(-AH0_)(K Y-UW1_Z D)
accuser	(-AH0_)(K Y-UW1_)(Z-ER0_)
accusers	(-AH0_)(K Y-UW1_)(Z-ER0_Z)
accuses	(-AH0_)(K Y-UW1_)(Z-IH0_Z)
accusing	(-AH0_)(K Y-UW1_)(Z-IH0_NG)
accusingly	(-AH0_)(K Y-UW1_)(Z-IH0_N)(G L-IY0_)
accustom	(-AH0_)(K-AH1_)(S T-AH0_M)
accustomed	(-AH0_)(K-AH1_)(S T-AH0_M D)
accutane	(-AE1_)(K Y-UW0_)(T-EY2_N)
ace	(-EY1_S)
aced	(-EY1_S T)
acer	(-EY1_)(S-ER0_)
acerbic	(-AH0_)(S-EH1_R)(B-IH0_K)
acero	(-AH0_)(S-EH1_)(R-OW0_)
acerra	(-AH0_)(S-EH1_)(R-AH0_)
aces	(-EY1_)(S-IH0_Z)
acetaminophen	(-AH0_)(S-IY2_)(T-AH0_)(M-IH1_)(N-AH0_)(F-AH0_N)
acetate	(-AE1_)(S-AH0_)(T-EY2_T)
acetic	(-AH0_)(S-EH1_)(T-IH0_K)
aceto	(-AA0_)(S-EH1_)(T-OW0_)
acetone	(-AE1_)(S-AH0_)(T-OW2_N)
acetylcholine	(-AH0_)(S-EH2_)(T-AH0_L)(K-OW1_)(L-IY0_N)
acetylene	(-AH0_)(S-EH1_)(T-AH0_)(L-IY2_N)
acevedo	(-AE0_)(S-AH0_)(V-EY1_)(D-OW0_)
aceves	(-AA0_)(S-EY1_)(V-EH0_S)
acey	(-EY1_)(S-IY0_)
achatz	(-AE1_)(K-AH0_T S)
ache	(-EY1_K)
achebe	(-AA0_)(CH-EY1_)(B-IY0_)
achee	(-AH0_)(CH-IY1_)
achenbach	(-AE1_)(K-IH0_N)(B-AA0_K)
achenbaum	(-AE1_)(K-AH0_N)(B-AW2_M)
aches	(-EY1_K S)
acheson	(-AE1_)(CH-AH0_)(S-AH0_N)
achey	(-AE1_)(CH-IY0_)
achievable	(-AH0_)(CH-IY1_)(V-AH0_)(B-AH0_L)
achieve	(-AH0_)(CH-IY1_V)
achieved	(-AH0_)(CH-IY1_V D)
achievement	(-AH0_)(CH-IY1_V)(M-AH0_N T)
achievements	(-AH0_)(CH-IY1_V)(M-AH0_N T S)
achiever	(-AH0_)(CH-IY1_)(V-ER0_)
achievers	(-AH0_)(CH-IY1_)(V-ER0_Z)
achieves	(-AH0_)(CH-IY1_V Z)
achieving	(-AH0_)(CH-IY1_)(V-IH0_NG)
achille	(-AH0_)(K-IH1_)(L-IY0_)
achilles	(-AH0_)(K-IH1_)(L-IY0_Z)
aching	(-EY1_)(K-IH0_NG)
achmed	(-AA1_HH)(M-EH0_D)
achoa	(-AH0_)(CH-OW1_)(-AH0_)
achor	(-EY1_)(K-ER0_)
achord	(-AE1_)(K-AO0_R D)
achorn	(-AE1_)(K-ER0_N)
achtenberg	(-AE1_K)(T-EH0_N)(B-ER0_G)
achterberg	(-AE1_K)(T-ER0_)(B-ER0_G)
achy	(-EY1_)(K-IY0_)
acid	(-AE1_)(S-AH0_D)
acidic	(-AH0_)(S-IH1_)(D-IH0_K)
acidification	(-AH0_)(S-IH2_)(D-AH0_)(F-AH0_)(K-EY1_)(SH-AH0_N)
acidified	(-AH0_)(S-IH1_)(D-AH0_)(F-AY2_D)
acidifies	(-AH0_)(S-IH1_)(D-AH0_)(F-AY2_Z)
acidify	(-AH0_)(S-IH1_)(D-AH0_)(F-AY2_)
acidity	(-AH0_)(S-IH1_)(D-AH0_)(T-IY0_)
acidly	(-AE1_)(S-AH0_D)(L-IY0_)
acidosis	(-AE2_)(S-AH0_)(D-OW1_)(S-AH0_S)
acids	(-AE1_)(S-AH0_D Z)
aciduria	(-AE2_)(S-AH0_)(D-UH1_)(R-IY0_)(-AH0_)
acierno	(-AA0_)(S-IH1_R)(N-OW0_)
ack	(-AE1_K)
acker	(-AE1_)(K-ER0_)
ackerley	(-AE1_)(K-ER0_)(L-IY0_)
ackerly	(-AE1_)(K-ER0_)(L-IY0_)
ackerman	(-AE1_)(K-ER0_)(M-AH0_N)
ackermann	(-AE1_)(K-ER0_)(M-AH0_N)
ackerson	(-AE1_)(K-ER0_)(S-AH0_N)
ackert	(-AE1_)(K-ER0_T)
ackhouse	(-AE1_K)(HH-AW2_S)
ackland	(-AE1_)(K L-AH0_N D)
ackles	(-AE1_)(K-AH0_L Z)
ackley	(-AE1_)(K L-IY0_)
acklin	(-AE1_)(K L-IH0_N)
ackman	(-AE1_K)(M-AH0_N)
acknowledge	(-AE0_K)(N-AA1_)(L-IH0_JH)
acknowledgeable	(-AE0_K)(N-AA1_)(L-IH0_)(JH-AH0_)(B-AH0_L)
acknowledged	(-AE0_K)(N-AA1_)(L-IH0_JH D)
acknowledgement	(-AE0_K)(N-AA1_)(L-IH0_JH)(M-AH0_N T)
acknowledges	(-AE0_K)(N-AA1_)(L-IH0_)(JH-IH0_Z)
acknowledging	(-AE0_K)(N-AA1_)(L-IH0_)(JH-IH0_NG)
acknowledgment	(-AE0_K)(N-AA1_)(L-IH0_JH)(M-AH0_N T)
ackroyd	(-AE1_)(K R-OY2_D)
acmat	(-AE1_K)(M-AE0_T)
acme	(-AE1_K)(M-IY0_)
acne	(-AE1_K)(N-IY0_)
acocella	(-AA0_)(K-OW0_)(CH-EH1_)(L-AH0_)
acoff	(-AE1_)(K-AO0_F)
acog	(-AH0_)(K-AO1_G)
acolyte	(-AE1_)(K-AH0_)(L-AY2_T)
acolytes	(-AE1_)(K-AH0_)(L-AY2_T S)
acord	(-AH0_)(K-AO1_R D)
acorn	(-EY1_)(K-AO0_R N)
acorns	(-EY1_)(K-AO0_R N Z)
acosta	(-AH0_)(K-AO1_)(S T-AH0_)
acoustic	(-AH0_)(K-UW1_)(S T-IH0_K)
acoustical	(-AH0_)(K-UW1_)(S T-IH0_)(K-AH0_L)
acoustically	(-AH0_)(K-UW1_)(S T-IH0_)(K L-IY0_)
acoustics	(-AH0_)(K-UW1_)(S T-IH0_K S)
acquaint	(-AH0_)(K W-EY1_N T)
acquaintance	(-AH0_)(K W-EY1_N)(T-AH0_N S)
acquaintances	(-AH0_)(K W-EY1_N)(T-AH0_N)(S-IH0_Z)
acquaintanceship	(-AH0_)(K W-EY1_N)(T-AH0_NS)(SH-IH0_P)
acquainted	(-AH0_)(K W-EY1_N)(T-IH0_D)
acquaviva	(-AA0_)(K W-AA0_)(V-IY1_)(V-AH0_)
acquiesce	(-AE2_)(K W-IY0_)(-EH1_S)
acquiesced	(-AE2_)(K W-IY0_)(-EH1_S T)
acquiescence	(-AE2_)(K W-IY0_)(-EH1_)(S-AH0_N S)
acquiescing	(-AE2_)(K W-IY0_)(-EH1_)(S-IH0_NG)
acquire	(-AH0_)(K W-AY1_)(-ER0_)
acquired	(-AH0_)(K W-AY1_)(-ER0_D)
acquirer	(-AH0_)(K W-AY1_)(-ER0_)(-ER0_)
acquirers	(-AH0_)(K W-AY1_)(-ER0_)(-ER0_Z)
acquires	(-AH0_)(K W-AY1_)(-ER0_Z)
acquiring	(-AH0_)(K W-AY1_)(R-IH0_NG)
acquisition	(-AE2_)(K W-AH0_)(Z-IH1_)(SH-AH0_N)
acquisitions	(-AE2_)(K W-AH0_)(Z-IH1_)(SH-AH0_N Z)
acquisitive	(-AH0_)(K W-IH1_)(Z-AH0_)(T-IH0_V)
acquit	(-AH0_)(K W-IH1_T)
acquitaine	(-AE1_)(K W-IH0_)(T-EY2_N)
acquits	(-AH0_)(K W-IH1_T S)
acquittal	(-AH0_)(K W-IH1_)(T-AH0_L)
acquittals	(-AH0_)(K W-IH1_)(T-AH0_L Z)
acquitted	(-AH0_)(K W-IH1_)(T-AH0_D)
acquitting	(-AH0_)(K W-IH1_)(T-IH0_NG)
acre	(-EY1_)(K-ER0_)
acreage	(-EY1_)(K-ER0_)(-IH0_JH)
acree	(-AH0_)(K R-IY1_)
acres	(-EY1_)(K-ER0_Z)
acrey	(-AE1_)(K R-IY0_)
acri	(-AA1_)(K R-IY0_)
acrid	(-AE1_)(K R-IH0_D)
acrimonious	(-AE2_)(K R-AH0_)(M-OW1_)(N-IY0_)(-AH0_S)
acrimony	(-AE1_)(K R-IH0_)(M-OW2_)(N-IY0_)
acrobat	(-AE1_)(K R-AH0_)(B-AE2_T)
acrobatic	(-AE2_)(K R-AH0_)(B-AE1_)(T-IH0_K)
acrobatics	(-AE2_)(K R-AH0_)(B-AE1_)(T-IH0_K S)
acrobats	(-AE1_)(K R-AH0_)(B-AE2_T S)
acronym	(-AE1_)(K R-AH0_)(N-IH0_M)
acronyms	(-AE1_)(K R-AH0_)(N-IH0_M Z)
acropolis	(-AH0_)(K R-AA1_)(P-AH0_)(L-AH0_S)
across	(-AH0_)(K R-AO1_S)
acrylic	(-AH0_)(K R-IH1_)(L-IH0_K)
acrylics	(-AH0_)(K R-IH1_)(L-IH0_K S)
act	(-AE1_K T)
actava	(-AE2_K)(T-AA1_)(V-AH0_)
acted	(-AE1_K)(T-AH0_D)
actigall	(-AE1_K)(T-IH0_)(G-AO0_L)
actin	(-AE1_K)(T-AH0_N)
acting	(-AE1_K)(T-IH0_NG)
actinide	(-AE1_K)(T-IH0_)(N-AY2_D)
actinidia	(-AE2_K)(T-IH0_)(N-IH1_)(D-IY0_)(-AH0_)
action	(-AE1_K)(SH-AH0_N)
actionable	(-AE1_K)(SH-AH0_)(N-AH0_)(B-AH0_L)
actions	(-AE1_K)(SH-AH0_N Z)
activase	(-AE1_K)(T-IH0_)(V-EY2_Z)
activate	(-AE1_K)(T-AH0_)(V-EY2_T)
activated	(-AE1_K)(T-AH0_)(V-EY2_)(T-AH0_D)
activates	(-AE1_K)(T-AH0_)(V-EY2_T S)
activating	(-AE1_K)(T-AH0_)(V-EY2_)(T-IH0_NG)
activation	(-AE2_K)(T-AH0_)(V-EY1_)(SH-AH0_N)
activator	(-AE1_K)(T-AH0_)(V-EY2_)(T-ER0_)
active	(-AE1_K)(T-IH0_V)
actively	(-AE1_K)(T-IH0_V)(L-IY0_)
actives	(-AE1_K)(T-IH0_V Z)
activision	(-AE1_K)(T-IH0_)(V-IH2_)(ZH-AH0_N)
activism	(-AE1_K)(T-IH0_)(V-IH2_)(Z-AH0_M)
activist	(-AE1_K)(T-AH0_)(V-AH0_S T)
activists	(-AE1_K)(T-AH0_)(V-AH0_S T S)
activities	(-AE0_K)(T-IH1_)(V-AH0_)(T-IY0_Z)
activity	(-AE0_K)(T-IH1_)(V-AH0_)(T-IY0_)
actmedia	(-AE0_KT)(M-IY1_)(D-IY0_)(-AH0_)
actodine	(-AE1_K)(T-OW0_)(D-AY2_N)
acton	(-AE1_K)(T-AH0_N)
actor	(-AE1_K)(T-ER0_)
actors	(-AE1_K)(T-ER0_Z)
actress	(-AE1_K)(T R-AH0_S)
actresses	(-AE1_K)(T R-AH0_)(S-IH0_Z)
acts	(-AE1_K T S)
actual	(-AE1_K)(CH-AH0_)(W-AH0_L)
actuality	(-AE2_K)(CH-AH0_)(W-AE1_)(L-AH0_)(T-IY0_)
actualize	(-AE1_K)(CH-AH0_)(W-AH0_)(L-AY2_Z)
actually	(-AE1_K)(CH-AH0_)(W-AH0_)(L-IY0_)
actuarial	(-AE2_K)(CH-AH0_)(W-EH1_)(R-IY0_)(-AH0_L)
actuaries	(-AE1_K)(CH-AH0_)(W-EH2_)(R-IY0_Z)
actuary	(-AE1_K)(CH-AH0_)(W-EH2_)(R-IY0_)
actuate	(-AE1_K)(CH-UW0_)(W-EY2_T)
actuator	(-AE1_KT)(Y-UW0_)(-EY2_)(T-ER0_)
actuators	(-AE1_KT)(Y-UW0_)(-EY2_)(T-ER0_Z)
actus	(-AE1_K)(T-AH0_S)
acuff	(-AH0_)(K-AH1_F)
acuity	(-AH0_)(K Y-UW1_)(-AH0_)(T-IY0_)
acumen	(-AH0_)(K Y-UW1_)(M-AH0_N)
acuna	(-AA0_)(K-UW1_)(N-AH0_)
acupuncture	(-AE1_)(K Y-UW0_)(P-AH2_NGK)(CH-ER0_)
acura	(-AE1_)(K Y-ER0_)(-AH0_)
acuras	(-AE1_)(K Y-ER0_)(-AH0_Z)
acuson	(-AE2_)(K Y-UW1_)(S-AH0_N)
acustar	(-AE1_)(K Y-UW0_)(S T-AA2_R)
acusyst	(-AE1_)(K Y-UW0_)(S-IH0_S T)
acute	(-AH0_)(K Y-UW1_T)
acutely	(-AH0_)(K Y-UW1_T)(L-IY0_)
acuteness	(-AH0_)(K Y-UW1_T)(N-AH0_S)
acyclovir	(-AH0_)(S-IH1_)(K L-OW0_)(V-IH2_R)
ad	(-AE1_D)
ada	(-EY1_)(D-AH0_)
adabel	(-AE1_)(D-AH0_)(B-EH0_L)
adabelle	(-AE1_)(D-AH0_)(B-AH0_L)
adachi	(-AA0_)(D-AA1_)(K-IY0_)
adage	(-AE1_)(D-AH0_JH)
adagio	(-AH0_)(D-AA1_)(ZH-IY0_)(-OW2_)
adah	(-AE1_)(D-AA0_)
adair	(-AH0_)(D-EH1_R)
adaire	(-AA0_)(D-EH1_R)
adak	(-AH0_)(D-AE1_K)
adalah	(-AA0_)(D-AA1_)(L-AH0_)
adalia	(-AA0_)(D-AA1_)(L-IY0_)(-AH0_)
adam	(-AE1_)(D-AH0_M)
adamant	(-AE1_)(D-AH0_)(M-AH0_N T)
adamantly	(-AE1_)(D-AH0_)(M-AH0_NT)(L-IY0_)
adamcik	(-AA1_)(D-AH0_M)(CH-IH0_K)
adamczak	(-AA1_)(D-AH0_M)(CH-AE0_K)
adamczyk	(-AA1_)(D-AH0_M)(CH-IH0_K)
adame	(-AA0_)(D-AA1_)(M-IY0_)
adamec	(-AH0_)(D-AA1_)(M-IH0_K)
adamek	(-AH0_)(D-AA1_)(M-EH0_K)
adames	(-AH0_)(D-EY1_M Z)
adami	(-AA0_)(D-AA1_)(M-IY0_)
adamik	(-AH0_)(D-AA1_)(M-IH0_K)
adamina	(-AA0_)(D-AA0_)(M-IY1_)(N-AH0_)
adamkus	(-AE1_)(D-AH0_M)(K-AH0_S)
adamo	(-AA0_)(D-AA1_)(M-OW0_)
adamowicz	(-AH0_)(D-AA1_)(M-AH0_)(V-IH0_CH)
adams	(-AE1_)(D-AH0_M Z)
adamski	(-AH0_)(D-AE1_M)(S K-IY2_)
adamson	(-AE1_)(D-AH0_M)(S-AH0_N)
adamstown	(-AE1_)(D-AH0_M)(S T-AW2_N)
adan	(-EY1_)(D-AH0_N)
adapso	(-AH0_)(D-AE1_P)(S-OW0_)
adapt	(-AH0_)(D-AE1_P T)
adaptability	(-AH0_)(D-AE2_P)(T-AH0_)(B-IH1_)(L-AH0_)(T-IY0_)
adaptable	(-AH0_)(D-AE1_P)(T-AH0_)(B-AH0_L)
adaptaplex	(-AH0_)(D-AE1_P)(T-AH0_)(P L-EH2_K S)
adaptation	(-AE2_)(D-AH0_P)(T-EY1_)(SH-AH0_N)
adaptations	(-AE2_)(D-AE0_P)(T-EY1_)(SH-AH0_N Z)
adaptec	(-AH0_)(D-AE1_P)(T-EH2_K)
adapted	(-AH0_)(D-AE1_P)(T-AH0_D)
adapter	(-AH0_)(D-AE1_P)(T-ER0_)
adapters	(-AH0_)(D-AE1_P)(T-ER0_Z)
adapting	(-AH0_)(D-AE1_P)(T-IH0_NG)
adaptive	(-AH0_)(D-AE1_P)(T-IH0_V)
adaptor	(-AH0_)(D-AE1_P)(T-ER0_)
adapts	(-AH0_)(D-AE1_P T S)
adar	(-AH0_)(D-AA1_R)
adarand	(-AE1_)(D-AH0_)(R-AE2_N D)
aday	(-AH0_)(D-EY1_)
adaza	(-AH0_)(D-AA1_)(Z-AH0_)
adcock	(-AH0_D)(K-AA1_K)
adcox	(-AH0_D)(K-AA1_K S)
add	(-AE1_D)
addair	(-AH0_)(D-EH1_R)
addams	(-AE1_)(D-AH0_M Z)
added	(-AE1_)(D-AH0_D)
addendum	(-AH0_)(D-EH1_)(D-AH0_M)
addendums	(-AH0_)(D-EH1_)(D-AH0_M Z)
addeo	(-AA1_)(D-IY0_)(-OW0_)
adder	(-AE1_)(D-ER0_)
adderley	(-AH0_)(D-ER1_)(L-IY0_)
addicks	(-AE1_)(D-IH0_K S)
addict	(-AH0_)(D-IH1_K T)
addicted	(-AH0_)(D-IH1_K)(T-AH0_D)
addicting	(-AH0_)(D-IH1_K)(T-IH0_NG)
addiction	(-AH0_)(D-IH1_K)(SH-AH0_N)
addictions	(-AH0_)(D-IH1_K)(SH-AH0_N Z)
addictive	(-AH0_)(D-IH1_K)(T-IH0_V)
addicts	(-AH0_)(D-IH1_K T S)
addidas	(-AH0_)(D-IY1_)(D-AH0_S)
addie	(-AE1_)(D-IY0_)
adding	(-AE1_)(D-IH0_NG)
addington	(-AE1_)(D-IH0_NG)(T-AH0_N)
addis	(-AA1_)(D-IH0_S)
addison	(-AE1_)(D-AH0_)(S-AH0_N)
addition	(-AH0_)(D-IH1_)(SH-AH0_N)
additional	(-AH0_)(D-IH1_)(SH-AH0_)(N-AH0_L)
additionally	(-AH0_)(D-IH1_)(SH-AH0_)(N-AH0_)(L-IY0_)
additions	(-AH0_)(D-IH1_)(SH-AH0_N Z)
additive	(-AE1_)(D-AH0_)(T-IH0_V)
additives	(-AE1_)(D-AH0_)(T-IH0_V Z)
addle	(-AE1_)(D-AH0_L)
addled	(-AE1_)(D-AH0_L D)
addleman	(-AE1_)(D-AH0_L)(M-AH0_N)
address	(-AE1_)(D R-EH2_S)
addressable	(-AH0_)(D R-EH1_)(S-AH0_)(B-AH0_L)
addressed	(-AH0_)(D R-EH1_S T)
addressee	(-AE2_)(D R-EH0_)(S-IY1_)
addresses	(-AE1_)(D R-EH1_)(S-IH0_Z)
addressing	(-AH0_)(D R-EH1_)(S-IH0_NG)
adds	(-AE1_D Z)
adduci	(-AA0_)(D-UW1_)(CH-IY0_)
addwest	(-AE2_)(D W-EH1_S T)
addy	(-AE1_)(D-IY0_)
ade	(-EY1_D)
adee	(-AH0_)(D-IY1_)
adel	(-AH0_)(D-EH1_L)
adela	(-AH0_)(D-EH1_)(L-AH0_)
adelaar	(-AE1_)(D-AH0_)(L-AA2_R)
adelaide	(-AE1_)(D-AH0_)(L-EY2_D)
adelbert	(-AH0_)(D-EH1_L)(B-ER0_T)
adele	(-AH0_)(D-EH1_L)
adeline	(-AE1_)(D-AH0_)(L-AY2_N)
adelizzi	(-AE2_)(D-AH0_)(L-IY1_)(Z-IY0_)
adell	(-AH0_)(D-EH1_L)
adelle	(-AH0_)(D-EH1_L)
adelman	(-AE1_)(D-AH0_L)(M-AH0_N)
adelmann	(-AE1_)(D-AH0_L)(M-AH0_N)
adelpha	(-AH0_)(D-EH1_L)(F-AH0_)
adelphia	(-AH0_)(D-EH1_L)(F-IY0_)(-AH0_)
adelsberger	(-AE1_)(D-IH0_LZ)(B-ER0_)(G-ER0_)
adelson	(-AE1_)(D-AH0_L)(S-AH0_N)
adelstein	(-AE1_)(D-AH0_L)(S T-AY0_N)
aden	(-EY1_)(D-AH0_N)
adena	(-AE1_)(D-IH0_)(N-AH0_)
adenauer	(-EY1_)(D-AH0_)(N-AW2_R)
adenine	(-AE1_)(D-AH0_)(N-IY2_N)
adenoid	(-AE1_)(D-AH0_)(N-OY2_D)
adenoids	(-AE1_)(D-AH0_)(N-OY2_D Z)
adept	(-AH0_)(D-EH1_P T)
adequacy	(-AE1_)(D-AH0_)(K W-AH0_)(S-IY0_)
adequate	(-AE1_)(D-AH0_)(K W-AH0_T)
adequately	(-AE1_)(D-AH0_)(K W-AH0_T)(L-IY0_)
ader	(-EY1_)(D-ER0_)
aderhold	(-AE1_)(D-ER0_)(HH-OW0_L D)
aderholt	(-AE1_)(D-ER0_)(HH-OW0_L T)
aderman	(-AE1_)(D-ER0_)(M-AH0_N)
ades	(-EY1_D Z)
adey	(-EY1_)(D-IY0_)
adger	(-AE1_)(JH-ER0_)
adham	(-AE1_D)(HH-AE0_M)
adhere	(-AH0_D)(HH-IH1_R)
adhered	(-AE0_D)(HH-IH1_R D)
adherence	(-AH0_D)(HH-IH1_)(R-AH0_N S)
adherent	(-AH0_D)(HH-IH1_)(R-AH0_N T)
adherents	(-AE0_D)(HH-IH1_)(R-AH0_N T S)
adheres	(-AH0_D)(HH-IH1_R Z)
adhering	(-AH0_D)(HH-IH1_)(R-IH0_NG)
adhesive	(-AE0_D)(HH-IY1_)(S-IH0_V)
adhesives	(-AE0_D)(HH-IY1_)(S-IH0_V Z)
adia	(-AA1_)(D-IY0_)(-AH0_)
adid	(-AH0_)(D-IH1_D)
adidas	(-AH0_)(D-IY1_)(D-AH0_S)
adieu	(-AH0_)(D-UW1_)
adin	(-AH0_)(D-IH1_N)
adina	(-AA0_)(D-IY1_)(N-AH0_)
adine	(-AA0_)(D-IY1_)(N-IY0_)
adinolfi	(-AA0_)(D-IY0_)(N-OW1_L)(F-IY0_)
adios	(-AA2_)(D-IY0_)(-OW1_S)
adipose	(-AE1_)(D-AH0_)(P-OW2_S)
adirondack	(-AE2_)(D-ER0_)(-AA1_N)(D-AE0_K)
adjacent	(-AH0_)(JH-EY1_)(S-AH0_N T)
adjani	(-AE0_D)(JH-AA1_)(N-IY0_)
adjective	(-AE1_)(JH-IH0_K)(T-IH0_V)
adjectives	(-AE1_)(JH-IH0_K)(T-IH0_V Z)
adjoin	(-AH0_)(JH-OY1_N)
adjoining	(-AH0_)(JH-OY1_)(N-IH0_NG)
adjoins	(-AH0_)(JH-OY1_N Z)
adjourn	(-AH0_)(JH-ER1_N)
adjourned	(-AH0_)(JH-ER1_N D)
adjourning	(-AH0_)(JH-ER1_)(N-IH0_NG)
adjournment	(-AH0_)(JH-ER1_N)(M-AH0_N T)
adjourns	(-AH0_)(JH-ER1_N Z)
adjudge	(-AH0_)(JH-AH1_JH)
adjudged	(-AH0_)(JH-AH1_JH D)
adjudicate	(-AH0_)(JH-UW1_)(D-IH0_)(K-EY2_T)
adjudicated	(-AH0_)(JH-UW1_)(D-AH0_)(K-EY2_)(T-IH0_D)
adjudicating	(-AH0_)(JH-UW1_)(D-IH0_)(K-EY2_)(T-IH0_NG)
adjudication	(-AH0_)(JH-UW2_)(D-AH0_)(K-EY1_)(SH-AH0_N)
adjunct	(-AE1_)(JH-AH2_NG K T)
adjuncts	(-AE1_)(JH-AH2_NG K T S)
adjust	(-AH0_)(JH-AH1_S T)
adjustable	(-AH0_)(JH-AH1_)(S T-AH0_)(B-AH0_L)
adjustables	(-AH0_)(JH-AH1_)(S T-AH0_)(B-AH0_L Z)
adjusted	(-AH0_)(JH-AH1_)(S T-AH0_D)
adjuster	(-AH0_)(JH-AH1_)(S T-ER0_)
adjusters	(-AH0_)(JH-AH1_)(S T-ER0_Z)
adjusting	(-AH0_)(JH-AH1_)(S T-IH0_NG)
adjustment	(-AH0_)(JH-AH1_ST)(M-AH0_N T)
adjustments	(-AH0_)(JH-AH1_ST)(M-AH0_N T S)
adjusts	(-AH0_)(JH-AH1_S T S)
adjutant	(-AE1_)(JH-AH0_)(T-AH0_N T)
adkins	(-AE1_D)(K-IH0_N Z)
adkinson	(-AE1_D)(K-IH0_N)(S-AH0_N)
adkison	(-AE1_D)(K-IH0_)(S-AH0_N)
adkisson	(-AE1_D)(K-IH0_)(S-AH0_N)
adlai	(-AA0_D)(L-AA1_)(-IY0_)
adler	(-AE1_D)(L-ER0_)
adley	(-AE1_D)(L-IY0_)
adlon	(-AE1_D)(L-AA0_N)
adman	(-AE1_D)(M-AH0_N)
admen	(-AE1_D)(M-AH0_N)
administer	(-AH0_D)(M-IH1_)(N-AH0_)(S T-ER0_)
administered	(-AH0_D)(M-IH1_)(N-AH0_)(S T-ER0_D)
administering	(-AE0_D)(M-IH1_)(N-IH0_)(S T-ER0_)(-IH0_NG)
administers	(-AE0_D)(M-IH1_)(N-IH0_)(S T-ER0_Z)
administrate	(-AE0_D)(M-IH1_)(N-IH0_)(S T R-EY2_T)
administrating	(-AH0_D)(M-IH1_)(N-AH0_)(S T R-EY2_)(T-IH0_NG)
